instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp_daily,atemp,hum_daily,windspeed_daily,casual,registered,cnt_daily,cnt_hourly,temp_hourly,hum_hourly,windspeed_hourly
113,2011-04-23,2,0,4,0,6,0,2,0.46,0.450121,0.887917,0.230725,1462,2574,4036,4036,0.46,0.8879166666666666,0.23072499999999999
114,2011-04-24,2,0,4,0,0,0,2,0.581667,0.551763,0.810833,0.192175,1710,2481,4191,4191,0.5816666666666667,0.8108333333333334,0.19217499999999998
115,2011-04-25,2,0,4,0,1,1,1,0.606667,0.5745,0.776667,0.185333,773,3300,4073,4073,0.6066666666666667,0.7766666666666667,0.18533333333333335
116,2011-04-26,2,0,4,0,2,1,1,0.631667,0.594083,0.729167,0.3265,678,3722,4400,4400,0.6316666666666667,0.7291666666666666,0.3265
117,2011-04-27,2,0,4,0,3,1,2,0.62,0.575142,0.835417,0.3122,547,3325,3872,3872,0.62,0.8354166666666667,0.3122
118,2011-04-28,2,0,4,0,4,1,2,0.6175,0.578929,0.700833,0.320908,569,3489,4058,4058,0.6175,0.7008333333333333,0.32090833333333335
119,2011-04-29,2,0,4,0,5,1,1,0.51,0.497463,0.457083,0.240063,878,3717,4595,4595,0.51,0.45708333333333334,0.24006249999999998
120,2011-04-30,2,0,4,0,6,0,1,0.4725,0.464021,0.503333,0.235075,1965,3347,5312,5312,0.4725,0.5033333333333333,0.235075
121,2011-05-01,2,0,5,0,0,0,2,0.451667,0.448204,0.762083,0.106354,1138,2213,3351,3351,0.45166666666666666,0.7620833333333333,0.10635416666666668
122,2011-05-02,2,0,5,0,1,1,2,0.549167,0.532833,0.73,0.183454,847,3554,4401,4401,0.5491666666666667,0.73,0.18345416666666667
123,2011-05-03,2,0,5,0,2,1,2,0.616667,0.582079,0.697083,0.342667,603,3848,4451,4451,0.6166666666666667,0.6970833333333334,0.3426666666666667
124,2011-05-04,2,0,5,0,3,1,2,0.414167,0.40465,0.737083,0.328996,255,2378,2633,2633,0.4141666666666666,0.7370833333333334,0.3289958333333333
125,2011-05-05,2,0,5,0,4,1,1,0.459167,0.441917,0.444167,0.295392,614,3819,4433,4433,0.45916666666666667,0.44416666666666665,0.29539166666666666
126,2011-05-06,2,0,5,0,5,1,1,0.479167,0.474117,0.59,0.228246,894,3714,4608,4608,0.4791666666666667,0.59,0.22824583333333334
127,2011-05-07,2,0,5,0,6,0,1,0.52,0.512621,0.54125,0.16045,1612,3102,4714,4714,0.52,0.54125,0.16045
128,2011-05-08,2,0,5,0,0,0,1,0.528333,0.518933,0.631667,0.0746375,1401,2932,4333,4333,0.5283333333333333,0.6316666666666667,0.0746375
129,2011-05-09,2,0,5,0,1,1,1,0.5325,0.525246,0.58875,0.176,664,3698,4362,4362,0.5325,0.58875,0.17600000000000002
130,2011-05-10,2,0,5,0,2,1,1,0.5325,0.522721,0.489167,0.115671,694,4109,4803,4803,0.5325000000000001,0.4891666666666667,0.11567083333333333
131,2011-05-11,2,0,5,0,3,1,1,0.5425,0.5284,0.632917,0.120642,550,3632,4182,4182,0.5425,0.6329166666666667,0.12064166666666666
132,2011-05-12,2,0,5,0,4,1,1,0.535,0.523363,0.7475,0.189667,695,4169,4864,4864,0.535,0.7475,0.18966666666666665
133,2011-05-13,2,0,5,0,5,1,2,0.5125,0.4943,0.863333,0.179725,692,3413,4105,4105,0.5125000000000001,0.8633333333333333,0.17972500000000002
134,2011-05-14,2,0,5,0,6,0,2,0.520833,0.500629,0.9225,0.13495,902,2507,3409,3409,0.5208333333333334,0.9225,0.13495
135,2011-05-15,2,0,5,0,0,0,2,0.5625,0.536,0.867083,0.152979,1582,2971,4553,4553,0.5625,0.8670833333333333,0.15297916666666667
136,2011-05-16,2,0,5,0,1,1,1,0.5775,0.550512,0.787917,0.126871,773,3185,3958,3958,0.5775,0.7879166666666667,0.12687083333333335
137,2011-05-17,2,0,5,0,2,1,2,0.561667,0.538529,0.837917,0.277354,678,3445,4123,4123,0.5616666666666666,0.8379166666666666,0.2773541666666666
138,2011-05-18,2,0,5,0,3,1,2,0.55,0.527158,0.87,0.201492,536,3319,3855,3855,0.55,0.87,0.20149166666666665
139,2011-05-19,2,0,5,0,4,1,2,0.530833,0.510742,0.829583,0.108213,735,3840,4575,4575,0.5308333333333334,0.8295833333333333,0.1082125
140,2011-05-20,2,0,5,0,5,1,1,0.536667,0.529042,0.719583,0.125013,909,4008,4917,4917,0.5366666666666667,0.7195833333333334,0.1250125
141,2011-05-21,2,0,5,0,6,0,1,0.6025,0.571975,0.626667,0.12065,2258,3547,5805,5805,0.6025,0.6266666666666666,0.12065
142,2011-05-22,2,0,5,0,0,0,1,0.604167,0.5745,0.749583,0.148008,1576,3084,4660,4660,0.6041666666666666,0.7495833333333333,0.14800833333333333
143,2011-05-23,2,0,5,0,1,1,2,0.631667,0.590296,0.81,0.233842,836,3438,4274,4274,0.6316666666666667,0.8099999999999999,0.23384166666666664
144,2011-05-24,2,0,5,0,2,1,2,0.66,0.604813,0.740833,0.207092,659,3833,4492,4492,0.66,0.7408333333333333,0.20709166666666667
145,2011-05-25,2,0,5,0,3,1,1,0.660833,0.615542,0.69625,0.154233,740,4238,4978,4978,0.6608333333333333,0.69625,0.15423333333333333
146,2011-05-26,2,0,5,0,4,1,1,0.708333,0.654688,0.6775,0.199642,758,3919,4677,4677,0.7083333333333334,0.6775000000000001,0.1996416666666667
147,2011-05-27,2,0,5,0,5,1,1,0.681667,0.637008,0.65375,0.240679,871,3808,4679,4679,0.6816666666666666,0.6537499999999999,0.24067916666666667
148,2011-05-28,2,0,5,0,6,0,1,0.655833,0.612379,0.729583,0.230092,2001,2757,4758,4758,0.6558333333333334,0.7295833333333334,0.23009166666666667
149,2011-05-29,2,0,5,0,0,0,1,0.6675,0.61555,0.81875,0.213938,2355,2433,4788,4788,0.6675,0.81875,0.2139375
150,2011-05-30,2,0,5,1,1,0,1,0.733333,0.671092,0.685,0.131225,1549,2549,4098,4098,0.7333333333333334,0.6849999999999999,0.131225
151,2011-05-31,2,0,5,0,2,1,1,0.775,0.725383,0.636667,0.111329,673,3309,3982,3982,0.775,0.6366666666666666,0.11132916666666666
152,2011-06-01,2,0,6,0,3,1,2,0.764167,0.720967,0.677083,0.207092,513,3461,3974,3974,0.7641666666666667,0.6770833333333334,0.20709166666666667
153,2011-06-02,2,0,6,0,4,1,1,0.715,0.643942,0.305,0.292287,736,4232,4968,4968,0.715,0.305,0.2922875
154,2011-06-03,2,0,6,0,5,1,1,0.62,0.587133,0.354167,0.253121,898,4414,5312,5312,0.62,0.3541666666666667,0.25312083333333335
155,2011-06-04,2,0,6,0,6,0,1,0.635,0.594696,0.45625,0.123142,1869,3473,5342,5342,0.635,0.45625,0.12314166666666666
156,2011-06-05,2,0,6,0,0,0,2,0.648333,0.616804,0.6525,0.138692,1685,3221,4906,4906,0.6483333333333333,0.6525,0.13869166666666669
157,2011-06-06,2,0,6,0,1,1,1,0.678333,0.621858,0.6,0.121896,673,3875,4548,4548,0.6783333333333333,0.6,0.12189583333333333
158,2011-06-07,2,0,6,0,2,1,1,0.7075,0.65595,0.597917,0.187808,763,4070,4833,4833,0.7075,0.5979166666666667,0.18780833333333333
159,2011-06-08,2,0,6,0,3,1,1,0.775833,0.727279,0.622083,0.136817,676,3725,4401,4401,0.7758333333333334,0.6220833333333333,0.13681666666666667
160,2011-06-09,2,0,6,0,4,1,2,0.808333,0.757579,0.568333,0.149883,563,3352,3915,3915,0.8083333333333332,0.5683333333333334,0.14988333333333334
161,2011-06-10,2,0,6,0,5,1,1,0.755,0.703292,0.605,0.140554,815,3771,4586,4586,0.755,0.605,0.14055416666666667
162,2011-06-11,2,0,6,0,6,0,1,0.725,0.678038,0.654583,0.15485,1729,3237,4966,4966,0.725,0.6545833333333334,0.15485000000000002
163,2011-06-12,2,0,6,0,0,0,1,0.6925,0.643325,0.747917,0.163567,1467,2993,4460,4460,0.6925,0.7479166666666667,0.16356666666666667
164,2011-06-13,2,0,6,0,1,1,1,0.635,0.601654,0.494583,0.30535,863,4157,5020,5020,0.635,0.4945833333333333,0.30535
165,2011-06-14,2,0,6,0,2,1,1,0.604167,0.591546,0.507083,0.269283,727,4164,4891,4891,0.6041666666666666,0.5070833333333333,0.2692833333333333
166,2011-06-15,2,0,6,0,3,1,1,0.626667,0.587754,0.471667,0.167912,769,4411,5180,5180,0.6266666666666666,0.4716666666666667,0.16791250000000002
167,2011-06-16,2,0,6,0,4,1,2,0.628333,0.595346,0.688333,0.206471,545,3222,3767,3767,0.6283333333333333,0.6883333333333334,0.20647083333333335
168,2011-06-17,2,0,6,0,5,1,1,0.649167,0.600383,0.735833,0.143029,863,3981,4844,4844,0.6491666666666667,0.7358333333333333,0.14302916666666668
169,2011-06-18,2,0,6,0,6,0,1,0.696667,0.643954,0.670417,0.119408,1807,3312,5119,5119,0.6966666666666667,0.6704166666666667,0.11940833333333334
170,2011-06-19,2,0,6,0,0,0,2,0.699167,0.645846,0.666667,0.102,1639,3105,4744,4744,0.6991666666666667,0.6666666666666666,0.102
171,2011-06-20,2,0,6,0,1,1,2,0.635,0.595346,0.74625,0.155475,699,3311,4010,4010,0.635,0.74625,0.155475
172,2011-06-21,3,0,6,0,2,1,2,0.680833,0.637646,0.770417,0.171025,774,4061,4835,4835,0.6808333333333333,0.7704166666666666,0.17102499999999998
173,2011-06-22,3,0,6,0,3,1,1,0.733333,0.693829,0.7075,0.172262,661,3846,4507,4507,0.7333333333333334,0.7075,0.17226249999999999
174,2011-06-23,3,0,6,0,4,1,2,0.728333,0.693833,0.703333,0.238804,746,4044,4790,4790,0.7283333333333334,0.7033333333333333,0.23880416666666668
175,2011-06-24,3,0,6,0,5,1,1,0.724167,0.656583,0.573333,0.222025,969,4022,4991,4991,0.7241666666666666,0.5733333333333334,0.222025
176,2011-06-25,3,0,6,0,6,0,1,0.695,0.643313,0.483333,0.209571,1782,3420,5202,5202,0.695,0.48333333333333334,0.20957083333333335
177,2011-06-26,3,0,6,0,0,0,1,0.68,0.637629,0.513333,0.0945333,1920,3385,5305,5305,0.68,0.5133333333333333,0.09453333333333334
